,MAD,Median,Mean,Variance,Std,Kurtosis,Skew,Crest Factor,Impulse Factor,Shape Factor,Anomaly
196,1.193962621,1.135576,1.122241823,2.432876055,1.559767949,1.181511552,-0.099757008,5.789858082,7.204201454,1.244279454,1
197,0.961345557,1.102148,1.119243909,1.582213088,1.25786052,0.998901537,-0.096489155,4.474458182,5.463690665,1.221084306,1
198,0.968752356,1.094096,1.118931556,1.605795583,1.267199898,0.954617033,-0.033577346,4.325162476,5.316637341,1.229234132,1
199,1.049530599,1.088728,1.117089877,1.880700193,1.37138623,1.016178987,-0.078257456,4.909018574,6.04781434,1.231980334,1
200,1.043320108,1.128744,1.115911845,1.838468476,1.355901352,0.920832787,-0.258352068,4.632243239,5.66535375,1.223025963,1
201,1.135058883,1.126792,1.121279747,2.190255087,1.479951042,1.006871713,-0.035530381,4.466180497,5.539820091,1.240393239,1
202,1.03369944,1.117032,1.116757516,1.761670413,1.327279328,0.599738791,-0.096664207,4.777047566,5.866785547,1.228119558,1
203,0.98434464,1.10288,1.118023681,1.633789646,1.278197812,1.037411421,-0.084242176,4.740437406,5.817953909,1.227303181,1
204,1.08513545,1.100684,1.114706875,2.022571642,1.422171453,1.33073381,-0.022753039,5.184172645,6.448512378,1.243884573,1
205,1.061150419,1.085312,1.114202446,1.908664547,1.381544262,1.003526383,-0.040496321,4.485841532,5.575307234,1.24286763,1
206,1.081369249,1.114592,1.11714385,1.99553061,1.412632511,0.903236203,-0.0953449,4.19803106,5.193367489,1.237096014,1
207,1.116032869,1.098244,1.115200471,2.086451064,1.444455283,0.695768105,-0.02171255,4.358101494,5.41189597,1.24180127,1
208,1.066158333,1.130208,1.116990325,1.915261915,1.383929881,0.770980815,-0.021698187,4.713270829,5.80255817,1.231110704,1
209,1.055209821,1.12972,1.118194579,1.919862311,1.385590961,1.154449242,-0.149697223,4.76924058,5.861876392,1.229100586,1
210,1.08474866,1.095316,1.114694382,2.013469,1.418967582,1.047733687,-0.036011224,4.67461846,5.822980713,1.245659033,1
211,1.022700928,1.108248,1.120710316,1.742790215,1.3201478,0.675519037,-0.054731269,4.17661933,5.147695432,1.232502899,1
212,1.162457175,1.144116,1.118853183,2.283964456,1.51127908,0.624572028,-0.123018924,4.229968432,5.205069431,1.230522051,1
213,1.147039617,1.123132,1.120896765,2.193653035,1.481098591,0.69232991,0.013304869,4.918793334,6.118392896,1.243880863,1
214,1.046437241,1.111664,1.118375106,1.832659599,1.353757585,0.98803075,0.047412127,4.529646025,5.623630579,1.241516566,1
215,1.024620554,1.115568,1.117118213,1.748232871,1.322207575,0.63138939,-0.084468678,4.562693632,5.596332111,1.226541285,1
